tx_id	tx_biotype	tx_seq_start	tx_seq_end	tx_cds_seq_start	tx_cds_seq_end	gene_id	tx_support_level	tx_id_version	gc_content	tx_external_name	tx_is_canonical	tx_name
ENST00000396634	protein_coding	29941260	29945884	29942554	29945455	ENSG00000206503	NA	ENST00000396634.5	57.9764453961456	HLA-A-204	0	ENST00000396634
ENST00000706892	retained_intron	29941971	29945698	NA	NA	ENSG00000206503	NA	ENST00000706892.1	57.2131147540984	HLA-A-210	0	ENST00000706892
ENST00000706893	nonsense_mediated_decay	29941971	29945725	29942554	29945062	ENSG00000206503	NA	ENST00000706893.1	60.377358490566	HLA-A-211	0	ENST00000706893
ENST00000706894	protein_coding	29941971	29945753	29942554	29945373	ENSG00000206503	NA	ENST00000706894.1	58.5551330798479	HLA-A-212	0	ENST00000706894
ENST00000706895	retained_intron	29941971	29945790	NA	NA	ENSG00000206503	NA	ENST00000706895.1	56.8951279933939	HLA-A-213	0	ENST00000706895
ENST00000706896	retained_intron	29941971	29945833	NA	NA	ENSG00000206503	NA	ENST00000706896.1	57.0707070707071	HLA-A-214	0	ENST00000706896
ENST00000706897	retained_intron	29941971	29945833	NA	NA	ENSG00000206503	NA	ENST00000706897.1	57.383773928897	HLA-A-215	0	ENST00000706897
ENST00000706898	protein_coding	29941971	29945848	29942554	29945455	ENSG00000206503	NA	ENST00000706898.1	58.3193277310924	HLA-A-216	0	ENST00000706898
ENST00000706899	retained_intron	29941971	29945860	NA	NA	ENSG00000206503	NA	ENST00000706899.1	57.4883326262198	HLA-A-217	0	ENST00000706899
ENST00000706901	protein_coding	29941971	29946476	29942554	29945455	ENSG00000206503	NA	ENST00000706901.1	54.8643006263048	HLA-A-219	0	ENST00000706901
ENST00000706902	nonsense_mediated_decay	29941971	29949548	29942554	29947689	ENSG00000206503	NA	ENST00000706902.1	54.7301587301587	HLA-A-220	0	ENST00000706902
ENST00000706903	nonsense_mediated_decay	29941971	29949568	29942554	29945455	ENSG00000206503	NA	ENST00000706903.1	56.0065600656007	HLA-A-221	0	ENST00000706903
ENST00000706904	protein_coding	29941971	29949572	29942554	29947689	ENSG00000206503	NA	ENST00000706904.1	53.8650306748466	HLA-A-222	0	ENST00000706904
ENST00000376806	protein_coding	29942245	29945884	29942554	29945455	ENSG00000206503	NA	ENST00000376806.9	59.4929881337648	HLA-A-202	0	ENST00000376806
ENST00000706905	protein_coding	29942312	29946476	29942554	29945455	ENSG00000206503	NA	ENST00000706905.1	55.7390936044049	HLA-A-223	0	ENST00000706905
ENST00000376809	protein_coding	29942532	29945870	29942554	29945455	ENSG00000206503	NA	ENST00000376809.10	59.0879478827362	HLA-A-203	1	ENST00000376809
ENST00000714446	protein_coding	29942532	29945874	29942554	29945455	ENSG00000206503	NA	ENST00000714446.1	58.4905660377358	HLA-A-224	0	ENST00000714446
ENST00000496081	retained_intron	29942548	29945884	NA	NA	ENSG00000206503	NA	ENST00000496081.5	56.8309070548712	HLA-A-208	0	ENST00000496081
ENST00000376802	protein_coding	29942549	29945884	29942554	29945455	ENSG00000206503	NA	ENST00000376802.2	59.4452773613193	HLA-A-201	0	ENST00000376802
ENST00000495183	retained_intron	29942552	29945884	NA	NA	ENSG00000206503	NA	ENST00000495183.5	60.8720271800679	HLA-A-207	0	ENST00000495183
ENST00000461903	retained_intron	29942554	29945281	NA	NA	ENSG00000206503	NA	ENST00000461903.1	65.2366863905325	HLA-A-205	0	ENST00000461903
ENST00000479320	retained_intron	29942554	29945281	NA	NA	ENSG00000206503	NA	ENST00000479320.5	65.2923538230885	HLA-A-206	0	ENST00000479320
ENST00000638375	protein_coding	29942554	29945868	29942554	29945455	ENSG00000206503	NA	ENST00000638375.2	59.038737446198	HLA-A-209	0	ENST00000638375
ENST00000706900	protein_coding	29942722	29945867	29942768	29945455	ENSG00000206503	NA	ENST00000706900.1	58.7635869565217	HLA-A-218	0	ENST00000706900
