seqnames	start	end	width	strand	exon_id	tx_id	exon_rank	tx_start	tx_end	tx_length
6	29941260	29941319	60	+	ENSE00001677386	ENST00000396634	1	1	1868	1868
6	29941966	29942096	131	+	ENSE00001617475	ENST00000396634	2	1	1868	1868
6	29942404	29942626	223	+	ENSE00001633002	ENST00000396634	3	1	1868	1868
6	29942757	29943026	270	+	ENSE00003893776	ENST00000396634	4	1	1868	1868
6	29943268	29943543	276	+	ENSE00003895764	ENST00000396634	5	1	1868	1868
6	29944122	29944397	276	+	ENSE00003617747	ENST00000396634	6	1	1868	1868
6	29944500	29944616	117	+	ENSE00003518731	ENST00000396634	7	1	1868	1868
6	29945059	29945091	33	+	ENSE00003618247	ENST00000396634	8	1	1868	1868
6	29945234	29945281	48	+	ENSE00003515521	ENST00000396634	9	1	1868	1868
6	29945451	29945884	434	+	ENSE00003648072	ENST00000396634	10	1	1868	1868
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706892	1	1	3050	3050
6	29942404	29942626	223	+	ENSE00003738404	ENST00000706892	2	1	3050	3050
6	29942757	29943026	270	+	ENSE00003997347	ENST00000706892	3	1	3050	3050
6	29943268	29945698	2431	+	ENSE00003850165	ENST00000706892	4	1	3050	3050
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706893	1	1	1696	1696
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706893	2	1	1696	1696
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706893	3	1	1696	1696
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706893	4	1	1696	1696
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706893	5	1	1696	1696
6	29944466	29944634	169	+	ENSE00003997354	ENST00000706893	6	1	1696	1696
6	29945059	29945091	33	+	ENSE00003997357	ENST00000706893	7	1	1696	1696
6	29945234	29945281	48	+	ENSE00003997358	ENST00000706893	8	1	1696	1696
6	29945451	29945725	275	+	ENSE00003997350	ENST00000706893	9	1	1696	1696
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706894	1	1	1841	1841
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706894	2	1	1841	1841
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706894	3	1	1841	1841
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706894	4	1	1841	1841
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706894	5	1	1841	1841
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706894	6	1	1841	1841
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706894	7	1	1841	1841
6	29945234	29945753	520	+	ENSE00003805745	ENST00000706894	8	1	1841	1841
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706895	1	1	2422	2422
6	29942404	29942626	223	+	ENSE00003738404	ENST00000706895	2	1	2422	2422
6	29942757	29943026	270	+	ENSE00003997347	ENST00000706895	3	1	2422	2422
6	29943268	29943543	276	+	ENSE00003997348	ENST00000706895	4	1	2422	2422
6	29944122	29945091	970	+	ENSE00003997340	ENST00000706895	5	1	2422	2422
6	29945234	29945790	557	+	ENSE00003997339	ENST00000706895	6	1	2422	2422
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706896	1	1	2772	2772
6	29942404	29942626	223	+	ENSE00003738404	ENST00000706896	2	1	2772	2772
6	29942757	29943026	270	+	ENSE00003997347	ENST00000706896	3	1	2772	2772
6	29943268	29944397	1130	+	ENSE00003997349	ENST00000706896	4	1	2772	2772
6	29944500	29945091	592	+	ENSE00003997345	ENST00000706896	5	1	2772	2772
6	29945234	29945281	48	+	ENSE00003997358	ENST00000706896	6	1	2772	2772
6	29945451	29945833	383	+	ENSE00003997355	ENST00000706896	7	1	2772	2772
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706897	1	1	2194	2194
6	29942404	29942626	223	+	ENSE00003738404	ENST00000706897	2	1	2194	2194
6	29942757	29943026	270	+	ENSE00003997347	ENST00000706897	3	1	2194	2194
6	29943268	29943543	276	+	ENSE00003997348	ENST00000706897	4	1	2194	2194
6	29944122	29944397	276	+	ENSE00003531461	ENST00000706897	5	1	2194	2194
6	29944500	29945091	592	+	ENSE00003997345	ENST00000706897	6	1	2194	2194
6	29945234	29945281	48	+	ENSE00003997358	ENST00000706897	7	1	2194	2194
6	29945451	29945833	383	+	ENSE00003997355	ENST00000706897	8	1	2194	2194
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706898	1	1	1785	1785
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706898	2	1	1785	1785
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706898	3	1	1785	1785
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706898	4	1	1785	1785
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706898	5	1	1785	1785
6	29944500	29944634	135	+	ENSE00003510890	ENST00000706898	6	1	1785	1785
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706898	7	1	1785	1785
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706898	8	1	1785	1785
6	29945451	29945848	398	+	ENSE00003997352	ENST00000706898	9	1	1785	1785
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706899	1	1	2357	2357
6	29942404	29942626	223	+	ENSE00003738404	ENST00000706899	2	1	2357	2357
6	29942757	29943026	270	+	ENSE00003997347	ENST00000706899	3	1	2357	2357
6	29943268	29944397	1130	+	ENSE00003997349	ENST00000706899	4	1	2357	2357
6	29944500	29944616	117	+	ENSE00003997342	ENST00000706899	5	1	2357	2357
6	29945059	29945091	33	+	ENSE00003997353	ENST00000706899	6	1	2357	2357
6	29945234	29945281	48	+	ENSE00003997358	ENST00000706899	7	1	2357	2357
6	29945451	29945860	410	+	ENSE00003997341	ENST00000706899	8	1	2357	2357
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706901	1	1	2395	2395
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706901	2	1	2395	2395
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706901	3	1	2395	2395
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706901	4	1	2395	2395
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706901	5	1	2395	2395
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706901	6	1	2395	2395
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706901	7	1	2395	2395
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706901	8	1	2395	2395
6	29945451	29946476	1026	+	ENSE00003997367	ENST00000706901	9	1	2395	2395
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706902	1	1	3150	3150
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706902	2	1	3150	3150
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706902	3	1	3150	3150
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706902	4	1	3150	3150
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706902	5	1	3150	3150
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706902	6	1	3150	3150
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706902	7	1	3150	3150
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706902	8	1	3150	3150
6	29947682	29947825	144	+	ENSE00003997362	ENST00000706902	9	1	3150	3150
6	29947912	29949548	1637	+	ENSE00003997360	ENST00000706902	10	1	3150	3150
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706903	1	1	2439	2439
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706903	2	1	2439	2439
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706903	3	1	2439	2439
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706903	4	1	2439	2439
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706903	5	1	2439	2439
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706903	6	1	2439	2439
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706903	7	1	2439	2439
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706903	8	1	2439	2439
6	29945451	29945579	129	+	ENSE00003997366	ENST00000706903	9	1	2439	2439
6	29947682	29947825	144	+	ENSE00003997363	ENST00000706903	10	1	2439	2439
6	29948772	29949568	797	+	ENSE00003997365	ENST00000706903	11	1	2439	2439
6	29941971	29942096	126	+	ENSE00003997343	ENST00000706904	1	1	3260	3260
6	29942404	29942626	223	+	ENSE00001633002	ENST00000706904	2	1	3260	3260
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706904	3	1	3260	3260
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706904	4	1	3260	3260
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706904	5	1	3260	3260
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706904	6	1	3260	3260
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706904	7	1	3260	3260
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706904	8	1	3260	3260
6	29947682	29949572	1891	+	ENSE00003997364	ENST00000706904	9	1	3260	3260
6	29942245	29942626	382	+	ENSE00001829686	ENST00000376806	1	1	1854	1854
6	29942757	29943026	270	+	ENSE00003893776	ENST00000376806	2	1	1854	1854
6	29943268	29943543	276	+	ENSE00003895764	ENST00000376806	3	1	1854	1854
6	29944122	29944397	276	+	ENSE00003617747	ENST00000376806	4	1	1854	1854
6	29944500	29944634	135	+	ENSE00003510890	ENST00000376806	5	1	1854	1854
6	29945059	29945091	33	+	ENSE00003618247	ENST00000376806	6	1	1854	1854
6	29945234	29945281	48	+	ENSE00003515521	ENST00000376806	7	1	1854	1854
6	29945451	29945884	434	+	ENSE00003648072	ENST00000376806	8	1	1854	1854
6	29942312	29942626	315	+	ENSE00003997361	ENST00000706905	1	1	2361	2361
6	29942757	29943026	270	+	ENSE00003893776	ENST00000706905	2	1	2361	2361
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706905	3	1	2361	2361
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706905	4	1	2361	2361
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706905	5	1	2361	2361
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706905	6	1	2361	2361
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706905	7	1	2361	2361
6	29945451	29946476	1026	+	ENSE00003997367	ENST00000706905	8	1	2361	2361
6	29942532	29942626	95	+	ENSE00003997344	ENST00000376809	1	1	1535	1535
6	29942757	29943026	270	+	ENSE00003893776	ENST00000376809	2	1	1535	1535
6	29943268	29943543	276	+	ENSE00003895764	ENST00000376809	3	1	1535	1535
6	29944122	29944397	276	+	ENSE00003617747	ENST00000376809	4	1	1535	1535
6	29944500	29944616	117	+	ENSE00003518731	ENST00000376809	5	1	1535	1535
6	29945059	29945091	33	+	ENSE00003618247	ENST00000376809	6	1	1535	1535
6	29945234	29945281	48	+	ENSE00003515521	ENST00000376809	7	1	1535	1535
6	29945451	29945870	420	+	ENSE00003997356	ENST00000376809	8	1	1535	1535
6	29942532	29942630	99	+	ENSE00004024014	ENST00000714446	1	1	1431	1431
6	29942869	29943026	158	+	ENSE00004024012	ENST00000714446	2	1	1431	1431
