protein_id	chromosome	genome_start	genome_end	strand	n_exon_segments	protein_length
ENSP00000379873	6	29942554	29945452	+	8	365
ENSP00000516609	6	29942554	29945059	+	6	355
ENSP00000516610	6	29942554	29945370	+	7	394
ENSP00000516611	6	29942554	29945452	+	8	371
ENSP00000516612	6	29942554	29945452	+	8	365
ENSP00000516613	6	29942554	29947686	+	8	366
ENSP00000516614	6	29942554	29945452	+	8	365
ENSP00000516615	6	29942554	29947686	+	8	366
ENSP00000366002	6	29942554	29945452	+	8	371
ENSP00000516616	6	29942554	29945452	+	8	365
ENSP00000366005	6	29942554	29945452	+	8	365
ENSP00000519715	6	29942554	29945452	+	8	329
ENSP00000365998	6	29942554	29945452	+	5	299
ENSP00000492789	6	29942554	29945452	+	7	326
ENSP00000516617	6	29942768	29945452	+	7	337
