seqnames	start	end	width	strand	protein_id	tx_id	exon_id	exon_rank	cds_ok	protein_start	protein_end	prot_length
6	29942554	29942626	73	+	ENSP00000379873	ENST00000396634	ENSE00001633002	3	TRUE	1	365	365
6	29942757	29943026	270	+	ENSP00000379873	ENST00000396634	ENSE00003893776	4	TRUE	1	365	365
6	29943268	29943543	276	+	ENSP00000379873	ENST00000396634	ENSE00003895764	5	TRUE	1	365	365
6	29944122	29944397	276	+	ENSP00000379873	ENST00000396634	ENSE00003617747	6	TRUE	1	365	365
6	29944500	29944616	117	+	ENSP00000379873	ENST00000396634	ENSE00003518731	7	TRUE	1	365	365
6	29945059	29945091	33	+	ENSP00000379873	ENST00000396634	ENSE00003618247	8	TRUE	1	365	365
6	29945234	29945281	48	+	ENSP00000379873	ENST00000396634	ENSE00003515521	9	TRUE	1	365	365
6	29945451	29945452	2	+	ENSP00000379873	ENST00000396634	ENSE00003648072	10	TRUE	1	365	365
6	29942554	29942626	73	+	ENSP00000516609	ENST00000706893	ENSE00001633002	2	TRUE	1	355	355
6	29942757	29943026	270	+	ENSP00000516609	ENST00000706893	ENSE00003893776	3	TRUE	1	355	355
6	29943268	29943543	276	+	ENSP00000516609	ENST00000706893	ENSE00003895764	4	TRUE	1	355	355
6	29944122	29944397	276	+	ENSP00000516609	ENST00000706893	ENSE00003617747	5	TRUE	1	355	355
6	29944466	29944634	169	+	ENSP00000516609	ENST00000706893	ENSE00003997354	6	TRUE	1	355	355
6	29945059	29945059	1	+	ENSP00000516609	ENST00000706893	ENSE00003997357	7	TRUE	1	355	355
6	29942554	29942626	73	+	ENSP00000516610	ENST00000706894	ENSE00001633002	2	TRUE	1	394	394
6	29942757	29943026	270	+	ENSP00000516610	ENST00000706894	ENSE00003893776	3	TRUE	1	394	394
6	29943268	29943543	276	+	ENSP00000516610	ENST00000706894	ENSE00003895764	4	TRUE	1	394	394
6	29944122	29944397	276	+	ENSP00000516610	ENST00000706894	ENSE00003617747	5	TRUE	1	394	394
6	29944500	29944616	117	+	ENSP00000516610	ENST00000706894	ENSE00003518731	6	TRUE	1	394	394
6	29945059	29945091	33	+	ENSP00000516610	ENST00000706894	ENSE00003618247	7	TRUE	1	394	394
6	29945234	29945370	137	+	ENSP00000516610	ENST00000706894	ENSE00003805745	8	TRUE	1	394	394
6	29942554	29942626	73	+	ENSP00000516611	ENST00000706898	ENSE00001633002	2	TRUE	1	371	371
6	29942757	29943026	270	+	ENSP00000516611	ENST00000706898	ENSE00003893776	3	TRUE	1	371	371
6	29943268	29943543	276	+	ENSP00000516611	ENST00000706898	ENSE00003895764	4	TRUE	1	371	371
6	29944122	29944397	276	+	ENSP00000516611	ENST00000706898	ENSE00003617747	5	TRUE	1	371	371
6	29944500	29944634	135	+	ENSP00000516611	ENST00000706898	ENSE00003510890	6	TRUE	1	371	371
6	29945059	29945091	33	+	ENSP00000516611	ENST00000706898	ENSE00003618247	7	TRUE	1	371	371
6	29945234	29945281	48	+	ENSP00000516611	ENST00000706898	ENSE00003515521	8	TRUE	1	371	371
6	29945451	29945452	2	+	ENSP00000516611	ENST00000706898	ENSE00003997352	9	TRUE	1	371	371
6	29942554	29942626	73	+	ENSP00000516612	ENST00000706901	ENSE00001633002	2	TRUE	1	365	365
6	29942757	29943026	270	+	ENSP00000516612	ENST00000706901	ENSE00003893776	3	TRUE	1	365	365
6	29943268	29943543	276	+	ENSP00000516612	ENST00000706901	ENSE00003895764	4	TRUE	1	365	365
6	29944122	29944397	276	+	ENSP00000516612	ENST00000706901	ENSE00003617747	5	TRUE	1	365	365
6	29944500	29944616	117	+	ENSP00000516612	ENST00000706901	ENSE00003518731	6	TRUE	1	365	365
6	29945059	29945091	33	+	ENSP00000516612	ENST00000706901	ENSE00003618247	7	TRUE	1	365	365
6	29945234	29945281	48	+	ENSP00000516612	ENST00000706901	ENSE00003515521	8	TRUE	1	365	365
6	29945451	29945452	2	+	ENSP00000516612	ENST00000706901	ENSE00003997367	9	TRUE	1	365	365
6	29942554	29942626	73	+	ENSP00000516613	ENST00000706902	ENSE00001633002	2	TRUE	1	366	366
6	29942757	29943026	270	+	ENSP00000516613	ENST00000706902	ENSE00003893776	3	TRUE	1	366	366
6	29943268	29943543	276	+	ENSP00000516613	ENST00000706902	ENSE00003895764	4	TRUE	1	366	366
6	29944122	29944397	276	+	ENSP00000516613	ENST00000706902	ENSE00003617747	5	TRUE	1	366	366
6	29944500	29944616	117	+	ENSP00000516613	ENST00000706902	ENSE00003518731	6	TRUE	1	366	366
6	29945059	29945091	33	+	ENSP00000516613	ENST00000706902	ENSE00003618247	7	TRUE	1	366	366
6	29945234	29945281	48	+	ENSP00000516613	ENST00000706902	ENSE00003515521	8	TRUE	1	366	366
6	29947682	29947686	5	+	ENSP00000516613	ENST00000706902	ENSE00003997362	9	TRUE	1	366	366
6	29942554	29942626	73	+	ENSP00000516614	ENST00000706903	ENSE00001633002	2	TRUE	1	365	365
6	29942757	29943026	270	+	ENSP00000516614	ENST00000706903	ENSE00003893776	3	TRUE	1	365	365
6	29943268	29943543	276	+	ENSP00000516614	ENST00000706903	ENSE00003895764	4	TRUE	1	365	365
6	29944122	29944397	276	+	ENSP00000516614	ENST00000706903	ENSE00003617747	5	TRUE	1	365	365
6	29944500	29944616	117	+	ENSP00000516614	ENST00000706903	ENSE00003518731	6	TRUE	1	365	365
6	29945059	29945091	33	+	ENSP00000516614	ENST00000706903	ENSE00003618247	7	TRUE	1	365	365
6	29945234	29945281	48	+	ENSP00000516614	ENST00000706903	ENSE00003515521	8	TRUE	1	365	365
6	29945451	29945452	2	+	ENSP00000516614	ENST00000706903	ENSE00003997366	9	TRUE	1	365	365
6	29942554	29942626	73	+	ENSP00000516615	ENST00000706904	ENSE00001633002	2	TRUE	1	366	366
6	29942757	29943026	270	+	ENSP00000516615	ENST00000706904	ENSE00003893776	3	TRUE	1	366	366
6	29943268	29943543	276	+	ENSP00000516615	ENST00000706904	ENSE00003895764	4	TRUE	1	366	366
6	29944122	29944397	276	+	ENSP00000516615	ENST00000706904	ENSE00003617747	5	TRUE	1	366	366
6	29944500	29944616	117	+	ENSP00000516615	ENST00000706904	ENSE00003518731	6	TRUE	1	366	366
6	29945059	29945091	33	+	ENSP00000516615	ENST00000706904	ENSE00003618247	7	TRUE	1	366	366
